"","OBJECTID","Basin_Numb","Basin_Subb","Basin_Name","Basin_Su_1","Region_Off","Area_Acres","gwe_pre_ft_yr","gwe_post_ft_yr","no3_pre_mg_L_yr","no3_post_mg_L_yr","cr6_pre_ug_L_yr","cr6_post_ug_L_yr","as_pre_ug_L_yr","as_post_ug_L_yr","gwe_d_ft_yr","no3_d_mg_L_yr","cr6_d_ug_L_yr","as_d_ug_L_yr"
"31",389,"5-022","5-022.10","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - PLEASANT VALLEY","SCRO",48195,-3.66597053840424,-1.01910861959876,0.00854250394775783,-0.0261332729444285,-0.445813931467573,-0.122106281159033,-0.43983989889143,1.47275248785237,2.64686191880548,-0.0346757768921863,0.32370765030854,1.91259238674379
"32",402,"5-006","5-006.06","REDDING AREA","REDDING AREA - SOUTH BATTLE CREEK","NRO",33716,-0.394689728993063,0.588450811267623,0.920549423272769,-0.00570956776434813,0.115214942100633,-0.0434377696836709,0.0331323809683634,-0.328943743862349,0.983140540260686,-0.926258991037117,-0.158652711784304,-0.362076124830712
"33",407,"5-006","5-006.04","REDDING AREA","REDDING AREA - ENTERPRISE","NRO",61288,0.595720357850461,2.70165751773448,0.0259981732025593,-0.0234899290362027,0.114939295537139,-0.110664100379011,-0.138898476600387,-0.487663595964231,2.10593715988402,-0.049488102238762,-0.225603395916149,-0.348765119363844
"34",437,"5-022","5-022.18","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - WHITE WOLF","SCRO",107546,-4.40975268239404,-2.37230334331224,0.0447229936948048,0.29371741701194,0.0075861749702258,-0.0342891291115177,-8.79662839126829,0.211340769562742,2.0374493390818,0.248994423317135,-0.0418753040817435,9.00796916083104
"35",445,"5-021","5-021.54","SACRAMENTO VALLEY","SACRAMENTO VALLEY - ANTELOPE","NRO",19091,-0.721560484099744,0.199363853157548,0.0116371888580269,-0.0432834778922658,0.115612514880616,0.0490643985058166,0.323570642454836,0.106500694289496,0.920924337257292,-0.0549206667502927,-0.0665481163747996,-0.21706994816534
"36",446,"5-022","5-022.13","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - TULE","SCRO",477590,-6.28683909483723,-2.89586467183761,0.2221909754204,0.240514420631989,-0.0263158244561541,-0.110376524179477,-0.286442542599846,-0.983998222250164,3.39097442299962,0.0183234452115892,-0.0840606997233233,-0.697555679650318
"37",450,"5-022","5-022.08","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - KINGS","SCRO",981323,-3.70559087093464,-0.757809172186821,0.165823798509482,0.0765482350560969,0.0487096056347964,-0.11714482074432,-0.0507582739003272,0.245596458266661,2.94778169874782,-0.089275563453385,-0.165854426379116,0.296354732166988
"38",468,"5-021","5-021.64","SACRAMENTO VALLEY","SACRAMENTO VALLEY - NORTH AMERICAN","NCRO",342241,0.0921886034032868,0.136808230053034,0.0574994183971098,-0.0724929885562241,0.138595255415672,0.0832996356765804,0.082287746301074,0.119434088074189,0.0446196266497476,-0.129992406953334,-0.0552956197390917,0.0371463417731149
"39",475,"5-022","5-022.05","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - CHOWCHILLA","SCRO",145574,-4.95795853090082,-1.33181631673104,-0.198309353914409,0.1763219017568,0.669550942015931,-0.00191079787794922,-0.458396465511315,0.446189785879022,3.62614221416978,0.374631255671209,-0.671461739893881,0.904586251390338
"40",505,"5-021","5-021.56","SACRAMENTO VALLEY","SACRAMENTO VALLEY - LOS MOLINOS","NRO",99422,-0.910625728924354,-0.269784306442139,0.0387208471865808,-0.00444703833981234,0.115803741125179,0.126753342690288,0.0955910459722412,0.00538389053992428,0.640841422482215,-0.0431678855263932,0.0109496015651087,-0.0902071554323169
